position_cm,slope_disp_vs_mass,intercept_disp_vs_mass_original,r2,n,intercept_disp_vs_mass_forced,vertical_shift
38.0,1.9092620117287342,-16.769861998459277,0.9689036140152776,11,0.0,16.769861998459277
45.5,2.719450130484506,3.2341687509371018,0.9844873185445401,11,0.0,-3.2341687509371018
53.0,2.752928806552194,14.276875568050546,0.9734552839771169,11,0.0,-14.276875568050546
60.5,3.07652302491334,1.135986737914522,0.9770831424929032,11,0.0,-1.135986737914522
68.0,2.7973360705470918,-18.992874742197294,0.9804489565329556,11,0.0,18.992874742197294
75.5,9.495792970329683,26.078109096114144,0.996751393527396,11,0.0,-26.078109096114144
83.0,11.56429972019503,5.68992490954739,0.9972435115994006,11,0.0,-5.68992490954739
90.5,16.13325783537942,28.82941127031743,0.9986978562675566,11,0.0,-28.82941127031743
98.0,1.5673851700621046,-14.577220973253553,0.9342453090842239,11,0.0,14.577220973253553
105.5,15.21003250170611,26.52382966232553,0.994656662036855,11,0.0,-26.52382966232553
113.0,11.316765969745406,13.96776803463526,0.9983443417768433,11,0.0,-13.96776803463526
