position_cm,slope_mass_vs_disp,intercept,r2,n
38.0,-2.6020940682398592,-1.970272338046351,0.9961421985442243,11
45.5,-2.713555475039718,-2.0991767042937384,0.9979678889171142,11
53.0,-2.315576305498883,-0.869116550743327,0.9981724304466861,11
60.5,-2.4034018820456984,0.9063825956390923,0.9984733014488864,11
68.0,-2.249997672605695,-0.5307260875057691,0.9968822206371268,11
75.5,-2.673525213753428,-1.607446850576862,0.9954452386068039,11
83.0,-2.833715869847774,-3.1071407299163405,0.9965469033663602,11
90.5,-2.9750826530615253,-0.7620204167208025,0.9960233317714643,11
98.0,-3.036899803849866,-0.7137600141847705,0.9982631502163356,11
105.5,-3.7906460465900156,0.06511476283197269,0.9964371669547618,11
113.0,-4.477675494098487,-3.8346608299917926,0.9968243932057089,11
