model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,0.6143122180514066,-2.378280334166473,0.5133650015240612,11,0.24068596788562968,2.614653684028468
s1_l2,1,2,38.0,68.0,-1.136389870361463,17.914262566072114,0.49456952680169664,11,-0.7956803957734582,13.820697855168234
s1_l3,1,3,38.0,98.0,-1.6876435749016483,26.13535781357685,0.6662969155252169,11,-1.1773426442595676,19.351264850252107
s1_l4,1,4,38.0,128.0,-0.6544527524488243,9.961456162577115,0.26228199071370517,11,-1.1492766211351666,19.206354669280117
s1_l5,1,5,38.0,158.0,-1.299545270389789,16.746205916589904,0.9417606927070619,11,-1.2825643591603706,13.385967312252248
s2_l1,2,1,68.0,38.0,0.37062598458409834,-5.881168059636482,0.21617231528634584,11,0.1989167017042277,-6.91796109294884
s2_l2,2,2,68.0,68.0,-1.3675836535297152,14.360608097059094,0.7277455127820566,11,-0.5966362834915759,4.681578048965029
s2_l3,2,3,68.0,98.0,-0.0624442887293453,0.3514259568526146,0.003195934049542659,11,-0.7516720499438758,10.60564001482301
s2_l4,2,4,68.0,128.0,-0.5545706719143724,4.914195539195486,0.15069690747363929,11,-0.9110726776382441,10.854224804625119
s2_l5,2,5,68.0,158.0,-1.2088120135320866,10.905681342492043,0.760307111329369,11,-0.7618103758211494,5.427332418371336
s3_l1,3,1,98.0,38.0,0.3304594315839244,-4.326831509971619,0.3772934363923145,11,0.18220105529694053,0.412900046378752
s3_l2,3,2,98.0,68.0,-1.041592906582175,15.6884576387008,0.5265979348703074,11,-0.5753133025617865,12.405934159066732
s3_l3,3,3,98.0,98.0,-1.6015295693245513,23.20368572101703,0.5701571397284054,11,-1.9962614980776308,18.72349109569882
s3_l4,3,4,98.0,128.0,-1.308515118963529,16.148577512898115,0.5955886478619759,11,-1.269966667323141,19.365570856275028
s3_l5,3,5,98.0,158.0,-1.2450913790001692,14.526204987085919,0.749637532897419,11,-1.207105674225767,14.33217344079533
